freq,Vdiv mv,Tdiv ms,amplitude in,amplitude out,phase
160,18,2,4.015,0.1332,88.2
216,24,1.24,4.016,.1802,87.2
428,45,.66,4.016,.3551,84.7
713,76,.37,4.015,.5883,81.5
1153,120,.24,4.011,.9296,76.4
1853,184,.152,3.994,1.418,68.4
3053,270,.094,3.967,2.092,57.6
5053,360,.058,3.927,2.807,43.7
8253,430,.033,3.883,3.289,30.3
13553,460,.02,3.852,3.570,19.7
21553,480,.0124,3.841,3.695,12.8
36553,480,.0088,3.836,3.750,7.8
59553,480,.0045,3.832,3.768,4.9
97553,490,0.0027,3.830,3.776,3
159553,490,.00156,3.822,3.772,1
