freq,in,outDIFF,phDIFF,outCM,phCM
100,198e-3,6.9,-1.1,102e-3,178.6
183,200e-3,6.9,-0.3,102e-3,179
333,200e-3,6.9,0.0,103e-3,179.7
623,200e-3,6.9,0.3,103e-3,-179
1123,200e-3,6.97,0.5,102e-3,-179.8
2023,200e-3,6.97,0.9,102e-3,-179.3
3823,200e-3,6.97,1.9,103e-3,-178
7023,200e-3,6.97,3.3,102e-3,-177
12923,200e-3,6.94,5.6,102.7e-3,-174
23923,200e-3,6.86,10.4,101.8e-3,-169.1
43923,200e-3,6.61,19.1,98e-3,-160.9
80923,200e-3,5.95,31.8,91e-3,-146
148923,203e-3,4.64,48,75e-3,-127
278923,203e-3,3.00,65,51e-3,-107
500923,201e-3,1.79,77,30e-3,-91
